Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KDL-24W600A,SONY,DMT,No,Yes,Both,,Japan,2018,13990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c389
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,50G2,SKYWORTH,DMT,No,Yes,Both,Dixon Technologies (India) Ltd,India,2019,35000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c388
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,UA32N4003ARXXL,Samsung,DMT,No,Yes,Both,Samsung Electronics Hcmc Ce Complex Co. Ltd.,Vietnam,,17750,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c37b
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-43FS600D,PANASONIC ,DMT,No,Yes,Both,PANASONIC AVC NETWORKS INDIA CO.LTD.,India,,43950,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c38c
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32LK628BPTF,LG,DMT,No,Yes,Both,LG ELECTRONICS INDIA PVT LTD,India,2018,26990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c376
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32LK536BPTB,LG,DMT,No,Yes,Both,LG ELECTRONICS INDIA PVT LTD,India,,17790,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c38a
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,65SM8100,LG,DMT,No,Yes,Both,LG ELECTRONICS INDIA PVT LTD,India,,144990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c378
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Techlon 32,Techlon,DMT,No,No,No,,,,9900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced2
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,BR 3200,Nikko,DMT,No,Yes,No,,,,6000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ceca
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Nestron 43,Nestron,DMT,No,No,No,,,,28500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced4
